natureza_despesa,id_unidade,valor,unidade
LOC. MÃO-DE-OBRA,646,"R$       221.064,95",CENTRO DE EDUCACAO A DISTANCIA
EQUIP. MATERIAL PERMANENTE,646,"R$       412.293,97",CENTRO DE EDUCACAO A DISTANCIA
AUX. FINANCEIRO ESTUDANTE,646,"R$     2.605.857,56",CENTRO DE EDUCACAO A DISTANCIA
EQUIPAMENTOS E MATERIAL PERMANENTE,646,"R$        22.932,00",CENTRO DE EDUCACAO A DISTANCIA
MAT. CONSUMO,646,"R$        29.198,00",CENTRO DE EDUCACAO A DISTANCIA
SERV. PESSOA JURÍDICA,646,"R$     3.420.072,60",CENTRO DE EDUCACAO A DISTANCIA
DIÁRIAS,646,"R$        55.469,49",CENTRO DE EDUCACAO A DISTANCIA
PASSAGENS,646,"R$       358.432,05",CENTRO DE EDUCACAO A DISTANCIA
AUXÍLIO FINANCEIRO A PESQUISADORES,646,"R$       568.994,98",CENTRO DE EDUCACAO A DISTANCIA
SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO - PJ,646,"R$         1.420,00",CENTRO DE EDUCACAO A DISTANCIA
SERVIÇOS TIC,646,"R$        48.939,00",CENTRO DE EDUCACAO A DISTANCIA
SERV. PESSOA FÍSICA,646,"R$        97.605,50",CENTRO DE EDUCACAO A DISTANCIA
EQUIP. MATERIAL PERMANENTE,314,"R$       330.198,19",CENTRO DE EXCELÊNCIA EM TURISMO
SERV. PESSOA FÍSICA,314,"R$         8.000,00",CENTRO DE EXCELÊNCIA EM TURISMO
SERV. PESSOA JURÍDICA,314,"R$        47.569,00",CENTRO DE EXCELÊNCIA EM TURISMO
CONTRIBUICOES,314,"R$        12.200,00",CENTRO DE EXCELÊNCIA EM TURISMO
PASSAGENS,314,"R$        20.887,35",CENTRO DE EXCELÊNCIA EM TURISMO
DIÁRIAS,314,"R$        20.871,19",CENTRO DE EXCELÊNCIA EM TURISMO
EQUIPAMENTOS E MATERIAL PERMANENTE,314,"R$        49.900,00",CENTRO DE EXCELÊNCIA EM TURISMO
MAT. CONSUMO,314,"R$        21.929,94",CENTRO DE EXCELÊNCIA EM TURISMO
CUSTEIO,314,"R$       807.108,99",CENTRO DE EXCELÊNCIA EM TURISMO
AUXÍLIO FINANCEIRO A PESQUISADORES,314,"R$       826.500,00",CENTRO DE EXCELÊNCIA EM TURISMO
SERV. PESSOA JURÍDICA,662,"R$       559.211,60",CENTRO EST. AVANC. GOVERNO ADMIN PUBLICA
DIV.EXERCÍCIOS ANTERIORES,650,"R$        40.419,65",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
AUX. FINANCEIRO ESTUDANTE,650,"R$       555.107,73",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
MAT. CONSUMO,650,"R$        37.410,69",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
EQUIPAMENTOS E MATERIAL PERMANENTE,650,"R$        15.600,00",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
SERV. PESSOA JURÍDICA,650,"R$     6.666.525,41",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
SERV. PESSOA FÍSICA,650,"R$       225.549,95",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
CUSTEIO,650,"R$     6.418.502,78",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
OBRIGAÇÕES PATRONAIS,650,"R$           219,51",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
EQUIP. MATERIAL PERMANENTE,650,"R$     1.210.971,66",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
AUXÍLIO FINANCEIRO A PESQUISADORES,650,"R$     1.071.328,00",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
DIÁRIAS,650,"R$       355.082,94",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
PASSAGENS,650,"R$       615.617,74",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
SERV. PESSOA FÍSICA,655,"R$        18.720,00",CENTRO FORMACAO REC HUMANOS EM TRANSPORT
CUSTEIO,655,"R$        52.600,24",CENTRO FORMACAO REC HUMANOS EM TRANSPORT
EQUIP. MATERIAL PERMANENTE,316,"R$         3.215,00",CENTRO INTEGRADO ORDENAMENTO TERRITORIAL
MAT. CONSUMO,316,"R$         5.000,00",CENTRO INTEGRADO ORDENAMENTO TERRITORIAL
CUSTEIO,316,"R$        96.268,72",CENTRO INTEGRADO ORDENAMENTO TERRITORIAL
EQUIPAMENTOS E MATERIAL PERMANENTE,1448,"R$         9.980,00",CENTRO INTERNACIONAL DE BIOÉTICA E HUMANIDADES
CUSTEIO,1448,"R$        20.059,00",CENTRO INTERNACIONAL DE BIOÉTICA E HUMANIDADES
MAT. CONSUMO,315,"R$         5.824,45",CENTRO INTERNACIONAL DE FÍSICA DA MATÉRIA CONDENSADA
EQUIP. MATERIAL PERMANENTE,315,"R$         3.179,00",CENTRO INTERNACIONAL DE FÍSICA DA MATÉRIA CONDENSADA
CUSTEIO,315,"R$        98.957,00",CENTRO INTERNACIONAL DE FÍSICA DA MATÉRIA CONDENSADA
EQUIP. MATERIAL PERMANENTE,671,"R$        12.115,00",CENTRO PESQ. APLIC. BAMBU FIBRAS NATURAI
SERV. PESSOA JURÍDICA,671,"R$       819.538,24",CENTRO PESQ. APLIC. BAMBU FIBRAS NATURAI
AUXÍLIO FINANCEIRO A PESQUISADORES,671,"R$       583.200,00",CENTRO PESQ. APLIC. BAMBU FIBRAS NATURAI
PASSAGENS,671,"R$        95.000,00",CENTRO PESQ. APLIC. BAMBU FIBRAS NATURAI
AUX. FINANCEIRO ESTUDANTE,671,"R$       225.600,00",CENTRO PESQ. APLIC. BAMBU FIBRAS NATURAI
DIÁRIAS,671,"R$         2.500,00",CENTRO PESQ. APLIC. BAMBU FIBRAS NATURAI
MAT. CONSUMO,671,"R$        13.272,49",CENTRO PESQ. APLIC. BAMBU FIBRAS NATURAI
CUSTEIO,671,"R$       707.062,16",CENTRO PESQ. APLIC. BAMBU FIBRAS NATURAI
EQUIP. MATERIAL PERMANENTE,670,"R$        25.000,00",CENTRO PESQUISA ARQUITETURA INFORMACAO
CUSTEIO,663,"R$       125.873,94",CENTRO POL. DIR. ECON. E TECNO. CIMUNIC.
DIÁRIAS,659,"R$           942,78",CENTRO REF. CONS. NATU. RECUP. A. DEGRAD
EQUIP. MATERIAL PERMANENTE,659,"R$         4.215,00",CENTRO REF. CONS. NATU. RECUP. A. DEGRAD
PASSAGENS,659,"R$         2.000,00",CENTRO REF. CONS. NATU. RECUP. A. DEGRAD
SERV. PESSOA JURÍDICA,659,"R$         1.828,07",CENTRO REF. CONS. NATU. RECUP. A. DEGRAD
MAT. CONSUMO,659,"R$        16.959,10",CENTRO REF. CONS. NATU. RECUP. A. DEGRAD
CUSTEIO,659,"R$       114.445,18",CENTRO REF. CONS. NATU. RECUP. A. DEGRAD
CUSTEIO,322,"R$        31.000,00",CENTRO SELEÇÃO E PROMOÇÃO DE EVENTOS
SERV. PESSOA JURÍDICA,322,"R$         9.829,55",CENTRO SELEÇÃO E PROMOÇÃO DE EVENTOS
MAT. CONSUMO,322,"R$         2.066,70",CENTRO SELEÇÃO E PROMOÇÃO DE EVENTOS
SERV. PESSOA FÍSICA,322,"R$        80.000,00",CENTRO SELEÇÃO E PROMOÇÃO DE EVENTOS
DIÁRIAS,677,"R$        33.224,50",CENTRO UNB CERRADO
SERV. PESSOA JURÍDICA,677,"R$       251.339,19",CENTRO UNB CERRADO
MAT. CONSUMO,677,"R$        22.531,80",CENTRO UNB CERRADO
PASSAGENS,677,"R$         1.590,43",CENTRO UNB CERRADO
AUXÍLIO FINANCEIRO A PESQUISADORES,677,"R$        18.000,00",CENTRO UNB CERRADO
EXCLUSIVO PARA CONV. DNOC - MATERIAL DE CONSUMO,677,"R$           276,00",CENTRO UNB CERRADO
CUSTEIO,677,"R$       652.340,72",CENTRO UNB CERRADO
SERV. PESSOA FÍSICA,677,"R$       109.373,40",CENTRO UNB CERRADO
EQUIP. MATERIAL PERMANENTE,677,"R$        63.493,03",CENTRO UNB CERRADO
EQUIPAMENTOS E MATERIAL PERMANENTE,677,"R$        31.426,00",CENTRO UNB CERRADO
AUX. FINANCEIRO ESTUDANTE,677,"R$        13.010,00",CENTRO UNB CERRADO
LOC. MÃO-DE-OBRA,836,"R$     1.657.184,58",CONTÍNUO E COPEIRAGEM
EQUIP. MATERIAL PERMANENTE,694,"R$        10.500,00",COORD DE ESTRAT AMBIENTAIS SUSTENTAVEIS
CUSTEIO,694,"R$        84.262,24",COORD DE ESTRAT AMBIENTAIS SUSTENTAVEIS
CUSTEIO,697,"R$       110.483,89",COORDENACAO DE ALMOXARIFADO
SERV. PESSOA JURÍDICA,697,"R$        14.717,00",COORDENACAO DE ALMOXARIFADO
EQUIP. MATERIAL PERMANENTE,697,"R$           504,58",COORDENACAO DE ALMOXARIFADO
MAT. CONSUMO,697,"R$       327.775,48",COORDENACAO DE ALMOXARIFADO
SERV. PESSOA JURÍDICA,215,"R$            61,92",COORDENACAO DE ALMOXARIFADO CENTRAL
CUSTEIO,215,"R$       213.879,26",COORDENACAO DE ALMOXARIFADO CENTRAL
MAT. CONSUMO,215,"R$     4.101.111,60",COORDENACAO DE ALMOXARIFADO CENTRAL
SERV. PESSOA JURÍDICA,71,"R$       114.570,00",COORDENACAO DE CERIMONIAL
SERV. PESSOA JURÍDICA,219,"R$           100,00",COORDENACAO DE PATRIMONIO
SERV. PESSOA FÍSICA,219,"R$           100,00",COORDENACAO DE PATRIMONIO
SERVIÇOS / UG-GESTÃO,193,"R$       580.765,82",DECANATO ADMINISTRACAO E FINANCAS / DAF
"PREMIAÇÕES CULT., E OUTRAS",193,"R$        10.000,00",DECANATO ADMINISTRACAO E FINANCAS / DAF
OBRIGAÇÕES PATRONAIS,193,"R$       659.423,35",DECANATO ADMINISTRACAO E FINANCAS / DAF
EQUIP. MATERIAL PERMANENTE,193,"R$     6.585.758,03",DECANATO ADMINISTRACAO E FINANCAS / DAF
MAT. CONSUMO,193,"R$     3.372.159,49",DECANATO ADMINISTRACAO E FINANCAS / DAF
OBRIGAÇÕES CONTRIBUTIVAS,193,"R$        46.457,52",DECANATO ADMINISTRACAO E FINANCAS / DAF
SERVIÇOS TIC,193,"R$        31.562,44",DECANATO ADMINISTRACAO E FINANCAS / DAF
CAPITAL,193,"R$        19.960,00",DECANATO ADMINISTRACAO E FINANCAS / DAF
PASSAGENS,193,"R$        54.719,21",DECANATO ADMINISTRACAO E FINANCAS / DAF
INDENIZAÇÕES E RESTITUIÇÕE,193,"R$         3.415,55",DECANATO ADMINISTRACAO E FINANCAS / DAF
TRANF.PJ,193,"R$        71.910,00",DECANATO ADMINISTRACAO E FINANCAS / DAF
DIÁRIAS,193,"R$        14.361,12",DECANATO ADMINISTRACAO E FINANCAS / DAF
SERV. PESSOA JURÍDICA,193,"R$       368.592,23",DECANATO ADMINISTRACAO E FINANCAS / DAF
CUSTEIO,193,"R$     3.452.182,87",DECANATO ADMINISTRACAO E FINANCAS / DAF
MAT. CONSUMO,180,"R$       313.853,32",DECANATO ASSUNTOS COMUNITARIOS / DAC
EQUIPAMENTOS E MATERIAL PERMANENTE,180,"R$        51.580,00",DECANATO ASSUNTOS COMUNITARIOS / DAC
SERV. PESSOA JURÍDICA,180,"R$     2.099.578,77",DECANATO ASSUNTOS COMUNITARIOS / DAC
CAPITAL,180,"R$       141.297,00",DECANATO ASSUNTOS COMUNITARIOS / DAC
OBRIGAÇÕES PATRONAIS,180,"R$           238,02",DECANATO ASSUNTOS COMUNITARIOS / DAC
OBRAS E INSTALAÇÕES,180,"R$       418.000,00",DECANATO ASSUNTOS COMUNITARIOS / DAC
AUX. FINANCEIRO ESTUDANTE,180,"R$   248.185.780,32",DECANATO ASSUNTOS COMUNITARIOS / DAC
CONTRIBUICOES,180,"R$        12.168,00",DECANATO ASSUNTOS COMUNITARIOS / DAC
EQUIP. MATERIAL PERMANENTE,180,"R$     1.048.081,92",DECANATO ASSUNTOS COMUNITARIOS / DAC
SERV. PESSOA FÍSICA,180,"R$        13.511,90",DECANATO ASSUNTOS COMUNITARIOS / DAC
CUSTEIO,180,"R$    37.629.169,89",DECANATO ASSUNTOS COMUNITARIOS / DAC
DIÁRIAS,180,"R$        54.559,49",DECANATO ASSUNTOS COMUNITARIOS / DAC
ANUIDADES,180,"R$           290,50",DECANATO ASSUNTOS COMUNITARIOS / DAC
PASSAGENS,180,"R$        91.565,01",DECANATO ASSUNTOS COMUNITARIOS / DAC
TRANF.PJ,180,"R$       192.500,00",DECANATO ASSUNTOS COMUNITARIOS / DAC
DIÁRIAS,130,"R$         6.050,50",DECANATO DE ENSINO DE GRADUACAO / DEG
PASSAGENS,130,"R$       107.840,42",DECANATO DE ENSINO DE GRADUACAO / DEG
SERV. PESSOA FÍSICA,130,"R$     1.779.576,63",DECANATO DE ENSINO DE GRADUACAO / DEG
AUXÍLIO FINANCEIRO A PESQUISADORES,130,"R$       695.000,00",DECANATO DE ENSINO DE GRADUACAO / DEG
MAT. CONSUMO,130,"R$        18.679,17",DECANATO DE ENSINO DE GRADUACAO / DEG
AUX. FINANCEIRO ESTUDANTE,130,"R$     5.517.091,51",DECANATO DE ENSINO DE GRADUACAO / DEG
CUSTEIO,130,"R$     8.718.493,30",DECANATO DE ENSINO DE GRADUACAO / DEG
EQUIP. MATERIAL PERMANENTE,130,"R$       645.449,82",DECANATO DE ENSINO DE GRADUACAO / DEG
SERV. PESSOA JURÍDICA,130,"R$    10.314.915,43",DECANATO DE ENSINO DE GRADUACAO / DEG
OUTRAS DESPESAS CORRENTES - TRANSF. A INST. PRIVADAS S/FINS LUCRATIVOS,130,"R$    20.000.000,00",DECANATO DE ENSINO DE GRADUACAO / DEG
INDENIZAÇÕES E RESTITUIÇÕE,675,"R$        72.732,15",DECANATO DE GESTAO DE PESSOAS
CUSTEIO,675,"R$     8.687.569,74",DECANATO DE GESTAO DE PESSOAS
SERV. PESSOA JURÍDICA,675,"R$       274.305,79",DECANATO DE GESTAO DE PESSOAS
SERVIÇOS / UG-GESTÃO,675,"R$         6.750,00",DECANATO DE GESTAO DE PESSOAS
SERV. PESSOA FÍSICA,675,"R$     2.010.513,69",DECANATO DE GESTAO DE PESSOAS
MAT. CONSUMO,675,"R$       160.622,14",DECANATO DE GESTAO DE PESSOAS
EQUIP. MATERIAL PERMANENTE,675,"R$       108.260,00",DECANATO DE GESTAO DE PESSOAS
PASSAGENS,675,"R$       375.657,82",DECANATO DE GESTAO DE PESSOAS
DIÁRIAS,675,"R$       138.572,29",DECANATO DE GESTAO DE PESSOAS
SERVIÇOS TIC,675,"R$        58.380,00",DECANATO DE GESTAO DE PESSOAS
OBRIGAÇÕES PATRONAIS,675,"R$        23.280,00",DECANATO DE GESTAO DE PESSOAS
INDENIZAÇÕES E RESTITUIÇÕE,786,"R$       119.896,69",DECANATO DE PESQUISA E INOVACAO
CONTRIBUICOES,786,"R$         4.500,00",DECANATO DE PESQUISA E INOVACAO
EQUIP. MATERIAL PERMANENTE,786,"R$       714.555,68",DECANATO DE PESQUISA E INOVACAO
EQUIPAMENTOS E MATERIAL PERMANENTE,786,"R$        72.800,00",DECANATO DE PESQUISA E INOVACAO
CUSTEIO,786,"R$    17.297.261,93",DECANATO DE PESQUISA E INOVACAO
OBRIGAÇÕES PATRONAIS,786,"R$           350,01",DECANATO DE PESQUISA E INOVACAO
AUXÍLIO FINANCEIRO A PESQUISADORES,786,"R$    10.401.747,86",DECANATO DE PESQUISA E INOVACAO
SERV. PESSOA FÍSICA,786,"R$         5.866,63",DECANATO DE PESQUISA E INOVACAO
SERVIÇOS TIC,786,"R$        84.094,61",DECANATO DE PESQUISA E INOVACAO
DIÁRIAS,786,"R$       107.333,69",DECANATO DE PESQUISA E INOVACAO
MAT. CONSUMO,786,"R$        89.135,36",DECANATO DE PESQUISA E INOVACAO
SERV. PESSOA JURÍDICA,786,"R$     5.495.526,13",DECANATO DE PESQUISA E INOVACAO
PASSAGENS,786,"R$       151.130,14",DECANATO DE PESQUISA E INOVACAO
"PREMIAÇÕES CULT., E OUTRAS",786,"R$        17.500,00",DECANATO DE PESQUISA E INOVACAO
AUX. FINANCEIRO ESTUDANTE,786,"R$        95.300,00",DECANATO DE PESQUISA E INOVACAO
EQUIP. MATERIAL PERMANENTE,676,"R$       129.137,28","DECANATO DE PLANEJAMENTO,ORCAMENTO E AVA"
SERVIÇOS TIC,676,"R$        17.633,70","DECANATO DE PLANEJAMENTO,ORCAMENTO E AVA"
PASSAGENS,676,"R$        75.569,06","DECANATO DE PLANEJAMENTO,ORCAMENTO E AVA"
AUX. FINANCEIRO ESTUDANTE,676,"R$    35.328.301,37","DECANATO DE PLANEJAMENTO,ORCAMENTO E AVA"
CUSTEIO,676,"R$    58.438.409,64","DECANATO DE PLANEJAMENTO,ORCAMENTO E AVA"
MAT. CONSUMO,676,"R$        17.931,90","DECANATO DE PLANEJAMENTO,ORCAMENTO E AVA"
DIÁRIAS,676,"R$        32.630,93","DECANATO DE PLANEJAMENTO,ORCAMENTO E AVA"
SERV. PESSOA JURÍDICA,676,"R$       892.682,21","DECANATO DE PLANEJAMENTO,ORCAMENTO E AVA"
OUTRAS DESPESAS CORRENTES - TRANSF. A INST. PRIVADAS S/FINS LUCRATIVOS,676,"R$    10.704.423,42","DECANATO DE PLANEJAMENTO,ORCAMENTO E AVA"
INDENIZAÇÕES E RESTITUIÇÕE,170,"R$           317,58",DECANATO DE POS GRADUACAO / DPG
AUX. FINANCEIRO ESTUDANTE,170,"R$    11.399.408,65",DECANATO DE POS GRADUACAO / DPG
AUXÍLIO FINANCEIRO A PESQUISADORES,170,"R$       643.208,43",DECANATO DE POS GRADUACAO / DPG
SERV. PESSOA JURÍDICA,170,"R$       939.498,86",DECANATO DE POS GRADUACAO / DPG
CONTRIBUICOES,170,"R$         3.000,00",DECANATO DE POS GRADUACAO / DPG
CUSTEIO,170,"R$     8.878.501,40",DECANATO DE POS GRADUACAO / DPG
SERV. PESSOA FÍSICA,170,"R$       137.284,00",DECANATO DE POS GRADUACAO / DPG
SERVIÇOS TIC,170,"R$        68.972,40",DECANATO DE POS GRADUACAO / DPG
SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO - PJ,170,"R$       184.380,72",DECANATO DE POS GRADUACAO / DPG
DIÁRIAS,170,"R$     1.137.742,34",DECANATO DE POS GRADUACAO / DPG
PASSAGENS,170,"R$     1.707.693,14",DECANATO DE POS GRADUACAO / DPG
OBRIGAÇÕES PATRONAIS,170,"R$         1.777,83",DECANATO DE POS GRADUACAO / DPG
EQUIP. MATERIAL PERMANENTE,170,"R$       130.459,95",DECANATO DE POS GRADUACAO / DPG
MAT. CONSUMO,170,"R$       275.539,24",DECANATO DE POS GRADUACAO / DPG
SERV. PESSOA JURÍDICA,158,"R$       121.915,22",DECANATO EXTENSAO / DEX
AUX. FINANCEIRO ESTUDANTE,158,"R$     8.155.331,38",DECANATO EXTENSAO / DEX
EQUIP. MATERIAL PERMANENTE,158,"R$       288.333,36",DECANATO EXTENSAO / DEX
DIÁRIAS,158,"R$       285.600,89",DECANATO EXTENSAO / DEX
CUSTEIO,158,"R$     6.689.965,35",DECANATO EXTENSAO / DEX
SERVIÇOS TIC,158,"R$        24.207,00",DECANATO EXTENSAO / DEX
PASSAGENS,158,"R$       473.332,24",DECANATO EXTENSAO / DEX
SERV. PESSOA FÍSICA,158,"R$        44.946,00",DECANATO EXTENSAO / DEX
OBRIGAÇÕES PATRONAIS,158,"R$           632,05",DECANATO EXTENSAO / DEX
MAT. CONSUMO,158,"R$        71.240,78",DECANATO EXTENSAO / DEX
INDENIZAÇÕES E RESTITUIÇÕE,158,"R$         4.751,38",DECANATO EXTENSAO / DEX
DIV.EXERCÍCIOS ANTERIORES,158,"R$         9.893,30",DECANATO EXTENSAO / DEX
AUXÍLIO FINANCEIRO A PESQUISADORES,158,"R$       846.000,00",DECANATO EXTENSAO / DEX
CUSTEIO,660,"R$        15.162,40",DEPARTAMENTO DE DESIGN (11.01.01.14.04)
SERV. PESSOA FÍSICA,660,"R$         1.208,06",DEPARTAMENTO DE DESIGN (11.01.01.14.04)
EQUIP. MATERIAL PERMANENTE,660,"R$           288,00",DEPARTAMENTO DE DESIGN (11.01.01.14.04)
CUSTEIO,449,"R$        35.075,20",DEPARTAMENTO DE ENGENHARIA MECANICA
SERV. PESSOA FÍSICA,449,"R$         1.208,06",DEPARTAMENTO DE ENGENHARIA MECANICA
OBRIGAÇÕES PATRONAIS,449,"R$           154,23",DEPARTAMENTO DE ENGENHARIA MECANICA
EQUIP. MATERIAL PERMANENTE,449,"R$        16.401,85",DEPARTAMENTO DE ENGENHARIA MECANICA
SERV. PESSOA JURÍDICA,449,"R$        11.572,70",DEPARTAMENTO DE ENGENHARIA MECANICA
MAT. CONSUMO,449,"R$           699,84",DEPARTAMENTO DE ENGENHARIA MECANICA
SERV. PESSOA JURÍDICA,479,"R$       440.217,36",DEPARTAMENTO DE ESTUDOS LATINO AMERICANO
AUXÍLIO FINANCEIRO A PESQUISADORES,479,"R$     2.606.195,60",DEPARTAMENTO DE ESTUDOS LATINO AMERICANO
SERV. PESSOA JURÍDICA,678,"R$     2.963.692,00",DEPARTAMENTO DE FARMACIA
CUSTEIO,678,"R$        15.920,00",DEPARTAMENTO DE FARMACIA
MAT. CONSUMO,678,"R$           372,50",DEPARTAMENTO DE FARMACIA
CUSTEIO,791,"R$        91.959,84",DEPARTAMENTO DE GESTAO DE POLITICAS PUBL
AUX. FINANCEIRO ESTUDANTE,791,"R$        18.850,81",DEPARTAMENTO DE GESTAO DE POLITICAS PUBL
CUSTEIO,518,"R$        10.818,40",DEPARTAMENTO DE MATEMÁTICA
PASSAGENS,518,"R$        35.463,95",DEPARTAMENTO DE MATEMÁTICA
DIÁRIAS,518,"R$        76.157,99",DEPARTAMENTO DE MATEMÁTICA
SERV. PESSOA JURÍDICA,518,"R$         3.990,00",DEPARTAMENTO DE MATEMÁTICA
SERV. PESSOA JURÍDICA,592,"R$        14.940,00",DEPARTAMENTO DE  PSICOLOGIA CLÍNICA
CUSTEIO,592,"R$        25.860,14",DEPARTAMENTO DE  PSICOLOGIA CLÍNICA
AUXÍLIO FINANCEIRO A PESQUISADORES,592,"R$        10.860,00",DEPARTAMENTO DE  PSICOLOGIA CLÍNICA
SERV. PESSOA JURÍDICA,483,"R$         6.387,54",DEPARTAMENTO DE SOCIOLOGIA
PASSAGENS,483,"R$        17.731,07",DEPARTAMENTO DE SOCIOLOGIA
