natureza_despesa,id_unidade,valor,unidade
DIÁRIAS,256,"R$        30.447,08",BIBLIOTECA CENTRAL
CUSTEIO,256,"R$     5.276.463,73",BIBLIOTECA CENTRAL
SERV. PESSOA JURÍDICA,256,"R$     5.012.402,45",BIBLIOTECA CENTRAL
CAPITAL,256,"R$     3.068.752,39",BIBLIOTECA CENTRAL
AUXÍLIO FINANCEIRO A PESQUISADORES,256,"R$       243.000,00",BIBLIOTECA CENTRAL
AUX. FINANCEIRO ESTUDANTE,256,"R$        23.000,00",BIBLIOTECA CENTRAL
EQUIPAMENTOS E MATERIAL PERMANENTE,256,"R$       990.539,60",BIBLIOTECA CENTRAL
MAT. CONSUMO,256,"R$     1.406.031,44",BIBLIOTECA CENTRAL
EQUIP. MATERIAL PERMANENTE,256,"R$     8.463.735,22",BIBLIOTECA CENTRAL
OBRIGAÇÕES PATRONAIS,256,"R$        63.680,44",BIBLIOTECA CENTRAL
CUSTEIO,643,"R$     1.620.792,05",CENTRO DE APOIO AO DESENVOLVIMENTO TECNOLÓGICO
SERV. PESSOA JURÍDICA,643,"R$        56.666,77",CENTRO DE APOIO AO DESENVOLVIMENTO TECNOLÓGICO
MAT. CONSUMO,643,"R$        46.078,59",CENTRO DE APOIO AO DESENVOLVIMENTO TECNOLÓGICO
SERVIÇOS TIC,643,"R$         3.435,53",CENTRO DE APOIO AO DESENVOLVIMENTO TECNOLÓGICO
EQUIP. MATERIAL PERMANENTE,643,"R$       252.473,46",CENTRO DE APOIO AO DESENVOLVIMENTO TECNOLÓGICO
AUXÍLIO FINANCEIRO A PESQUISADORES,643,"R$       247.500,00",CENTRO DE APOIO AO DESENVOLVIMENTO TECNOLÓGICO
CAPITAL,643,"R$       155.912,28",CENTRO DE APOIO AO DESENVOLVIMENTO TECNOLÓGICO
SERV. PESSOA FÍSICA,643,"R$        24.000,00",CENTRO DE APOIO AO DESENVOLVIMENTO TECNOLÓGICO
AUX. FINANCEIRO ESTUDANTE,640,"R$         3.600,00",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
EXCLUSIVO PARA CONV. DNOC - MATERIAL DE CONSUMO,640,"R$           276,00",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
DIÁRIAS,640,"R$         9.908,72",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
MAT. CONSUMO,640,"R$         9.680,00",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
CAPITAL,640,"R$       966.400,00",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
CUSTEIO,640,"R$       735.677,70",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
PASSAGENS,640,"R$        27.379,61",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
SERV. PESSOA JURÍDICA,640,"R$         2.980,58",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
EQUIP. MATERIAL PERMANENTE,640,"R$        28.000,00",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
SERV. PESSOA FÍSICA,640,"R$         2.671,90",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
CONTRIBUICOES,640,"R$         6.000,00",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
SERVIÇOS TIC,646,"R$        48.939,00",CENTRO DE EDUCACAO A DISTANCIA
EQUIP. MATERIAL PERMANENTE,646,"R$       409.997,39",CENTRO DE EDUCACAO A DISTANCIA
AUX. FINANCEIRO ESTUDANTE,646,"R$     2.605.857,56",CENTRO DE EDUCACAO A DISTANCIA
CONTRIBUICOES,646,"R$         2.000,00",CENTRO DE EDUCACAO A DISTANCIA
CUSTEIO,646,"R$     1.858.980,08",CENTRO DE EDUCACAO A DISTANCIA
LOC. MÃO-DE-OBRA,646,"R$       221.064,95",CENTRO DE EDUCACAO A DISTANCIA
EQUIPAMENTOS E MATERIAL PERMANENTE,646,"R$        57.604,70",CENTRO DE EDUCACAO A DISTANCIA
DIÁRIAS,646,"R$        55.469,49",CENTRO DE EDUCACAO A DISTANCIA
SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO - PJ,646,"R$         1.420,00",CENTRO DE EDUCACAO A DISTANCIA
SERV. PESSOA JURÍDICA,646,"R$     3.447.998,61",CENTRO DE EDUCACAO A DISTANCIA
AUXÍLIO FINANCEIRO A PESQUISADORES,646,"R$       568.994,98",CENTRO DE EDUCACAO A DISTANCIA
MAT. CONSUMO,646,"R$        33.946,30",CENTRO DE EDUCACAO A DISTANCIA
SERV. PESSOA FÍSICA,646,"R$        97.605,50",CENTRO DE EDUCACAO A DISTANCIA
PASSAGENS,646,"R$       358.432,05",CENTRO DE EDUCACAO A DISTANCIA
DIÁRIAS,314,"R$        20.871,19",CENTRO DE EXCELÊNCIA EM TURISMO
CONTRIBUICOES,314,"R$        13.502,00",CENTRO DE EXCELÊNCIA EM TURISMO
PASSAGENS,314,"R$        23.887,35",CENTRO DE EXCELÊNCIA EM TURISMO
CUSTEIO,314,"R$       965.032,94",CENTRO DE EXCELÊNCIA EM TURISMO
SERV. PESSOA JURÍDICA,314,"R$        82.014,49",CENTRO DE EXCELÊNCIA EM TURISMO
SERV. PESSOA FÍSICA,314,"R$         8.000,00",CENTRO DE EXCELÊNCIA EM TURISMO
MAT. CONSUMO,314,"R$        21.861,18",CENTRO DE EXCELÊNCIA EM TURISMO
EQUIPAMENTOS E MATERIAL PERMANENTE,314,"R$       121.246,10",CENTRO DE EXCELÊNCIA EM TURISMO
EQUIP. MATERIAL PERMANENTE,314,"R$       270.049,30",CENTRO DE EXCELÊNCIA EM TURISMO
AUXÍLIO FINANCEIRO A PESQUISADORES,314,"R$       826.500,00",CENTRO DE EXCELÊNCIA EM TURISMO
CUSTEIO,662,"R$        95.956,22",CENTRO EST. AVANC. GOVERNO ADMIN PUBLICA
SERV. PESSOA JURÍDICA,662,"R$       559.211,60",CENTRO EST. AVANC. GOVERNO ADMIN PUBLICA
AUXÍLIO FINANCEIRO A PESQUISADORES,662,"R$        35.000,00",CENTRO EST. AVANC. GOVERNO ADMIN PUBLICA
MAT. CONSUMO,650,"R$        41.209,70",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
CONTRIBUICOES,650,"R$           600,00",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
SERV. PESSOA JURÍDICA,650,"R$     7.343.689,90",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
PASSAGENS,650,"R$       628.755,88",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
EQUIP. MATERIAL PERMANENTE,650,"R$     1.187.675,32",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
SERV. PESSOA FÍSICA,650,"R$       225.549,95",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
OBRIGAÇÕES PATRONAIS,650,"R$           219,51",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
DIÁRIAS,650,"R$       355.082,94",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
CUSTEIO,650,"R$     8.427.987,66",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
EQUIPAMENTOS E MATERIAL PERMANENTE,650,"R$        19.850,00",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
AUX. FINANCEIRO ESTUDANTE,650,"R$       544.570,58",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
EXCLUSIVO PARA CONV. DNOC - MATERIAL DE CONSUMO,650,"R$           220,00",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
DIV.EXERCÍCIOS ANTERIORES,650,"R$        40.419,65",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
AUXÍLIO FINANCEIRO A PESQUISADORES,650,"R$     1.262.828,00",CENTRO ESTUDOS AVANÇADOS MULTIDISCIPLIN
CUSTEIO,655,"R$        52.600,24",CENTRO FORMACAO REC HUMANOS EM TRANSPORT
SERV. PESSOA FÍSICA,655,"R$        18.720,00",CENTRO FORMACAO REC HUMANOS EM TRANSPORT
CUSTEIO,316,"R$        96.268,72",CENTRO INTEGRADO ORDENAMENTO TERRITORIAL
EQUIP. MATERIAL PERMANENTE,316,"R$         3.215,00",CENTRO INTEGRADO ORDENAMENTO TERRITORIAL
MAT. CONSUMO,316,"R$         5.000,00",CENTRO INTEGRADO ORDENAMENTO TERRITORIAL
CUSTEIO,1448,"R$        33.809,00",CENTRO INTERNACIONAL DE BIOÉTICA E HUMANIDADES
PASSAGENS,1448,"R$         4.923,57",CENTRO INTERNACIONAL DE BIOÉTICA E HUMANIDADES
EQUIPAMENTOS E MATERIAL PERMANENTE,1448,"R$         9.980,00",CENTRO INTERNACIONAL DE BIOÉTICA E HUMANIDADES
SERV. PESSOA JURÍDICA,315,"R$        12.838,00",CENTRO INTERNACIONAL DE FÍSICA
MAT. CONSUMO,315,"R$         7.069,70",CENTRO INTERNACIONAL DE FÍSICA
CUSTEIO,315,"R$       104.844,00",CENTRO INTERNACIONAL DE FÍSICA
EQUIP. MATERIAL PERMANENTE,315,"R$         3.179,00",CENTRO INTERNACIONAL DE FÍSICA
CUSTEIO,671,"R$       797.060,66",CENTRO PESQ. APLIC. BAMBU FIBRAS NATURAI
SERV. PESSOA JURÍDICA,671,"R$       843.823,72",CENTRO PESQ. APLIC. BAMBU FIBRAS NATURAI
DIÁRIAS,671,"R$         2.500,00",CENTRO PESQ. APLIC. BAMBU FIBRAS NATURAI
PASSAGENS,671,"R$        95.000,00",CENTRO PESQ. APLIC. BAMBU FIBRAS NATURAI
AUX. FINANCEIRO ESTUDANTE,671,"R$       225.600,00",CENTRO PESQ. APLIC. BAMBU FIBRAS NATURAI
EQUIP. MATERIAL PERMANENTE,671,"R$        12.115,00",CENTRO PESQ. APLIC. BAMBU FIBRAS NATURAI
AUXÍLIO FINANCEIRO A PESQUISADORES,671,"R$       583.200,00",CENTRO PESQ. APLIC. BAMBU FIBRAS NATURAI
MAT. CONSUMO,671,"R$        13.859,91",CENTRO PESQ. APLIC. BAMBU FIBRAS NATURAI
EQUIP. MATERIAL PERMANENTE,670,"R$        25.000,00",CENTRO PESQUISA ARQUITETURA INFORMACAO
CUSTEIO,663,"R$       401.123,22",CENTRO POL. DIR. ECON. E TECNO. CIMUNIC.
SERV. PESSOA JURÍDICA,659,"R$         1.828,07",CENTRO REF. CONS. NATU. RECUP. A. DEGRAD
DIÁRIAS,659,"R$           942,78",CENTRO REF. CONS. NATU. RECUP. A. DEGRAD
EQUIP. MATERIAL PERMANENTE,659,"R$         9.908,36",CENTRO REF. CONS. NATU. RECUP. A. DEGRAD
MAT. CONSUMO,659,"R$        20.650,25",CENTRO REF. CONS. NATU. RECUP. A. DEGRAD
CUSTEIO,659,"R$       127.207,18",CENTRO REF. CONS. NATU. RECUP. A. DEGRAD
PASSAGENS,659,"R$         2.000,00",CENTRO REF. CONS. NATU. RECUP. A. DEGRAD
SERV. PESSOA JURÍDICA,322,"R$       183.499,05",CENTRO SELEÇÃO E PROMOÇÃO DE EVENTOS
SERV. PESSOA FÍSICA,322,"R$        80.000,00",CENTRO SELEÇÃO E PROMOÇÃO DE EVENTOS
CUSTEIO,322,"R$       150.215,74",CENTRO SELEÇÃO E PROMOÇÃO DE EVENTOS
MAT. CONSUMO,322,"R$         2.066,70",CENTRO SELEÇÃO E PROMOÇÃO DE EVENTOS
EQUIPAMENTOS E MATERIAL PERMANENTE,677,"R$        40.020,00",CENTRO UNB CERRADO
SERV. PESSOA FÍSICA,677,"R$       107.711,00",CENTRO UNB CERRADO
MAT. CONSUMO,677,"R$        27.605,44",CENTRO UNB CERRADO
AUXÍLIO FINANCEIRO A PESQUISADORES,677,"R$        18.000,00",CENTRO UNB CERRADO
DIÁRIAS,677,"R$        38.224,50",CENTRO UNB CERRADO
CUSTEIO,677,"R$       716.252,00",CENTRO UNB CERRADO
EXCLUSIVO PARA CONV. DNOC - MATERIAL DE CONSUMO,677,"R$           376,00",CENTRO UNB CERRADO
SERV. PESSOA JURÍDICA,677,"R$       260.832,99",CENTRO UNB CERRADO
EQUIP. MATERIAL PERMANENTE,677,"R$       171.679,04",CENTRO UNB CERRADO
PASSAGENS,677,"R$         1.590,43",CENTRO UNB CERRADO
AUX. FINANCEIRO ESTUDANTE,677,"R$        13.010,00",CENTRO UNB CERRADO
CAPITAL,677,"R$        91.645,55",CENTRO UNB CERRADO
LOC. MÃO-DE-OBRA,836,"R$     1.657.184,58",CONTÍNUO E COPEIRAGEM
EQUIP. MATERIAL PERMANENTE,694,"R$        10.500,00",COORD DE ESTRAT AMBIENTAIS SUSTENTAVEIS
CUSTEIO,694,"R$        84.262,24",COORD DE ESTRAT AMBIENTAIS SUSTENTAVEIS
SERV. PESSOA JURÍDICA,697,"R$        15.839,47",COORDENACAO DE ALMOXARIFADO
EQUIP. MATERIAL PERMANENTE,697,"R$         1.087,57",COORDENACAO DE ALMOXARIFADO
EQUIPAMENTOS E MATERIAL PERMANENTE,697,"R$            29,93",COORDENACAO DE ALMOXARIFADO
CUSTEIO,697,"R$       119.337,47",COORDENACAO DE ALMOXARIFADO
MAT. CONSUMO,697,"R$       350.045,74",COORDENACAO DE ALMOXARIFADO
CUSTEIO,215,"R$       252.039,45",COORDENACAO DE ALMOXARIFADO CENTRAL
MAT. CONSUMO,215,"R$     6.745.706,57",COORDENACAO DE ALMOXARIFADO CENTRAL
SERV. PESSOA JURÍDICA,215,"R$           311,17",COORDENACAO DE ALMOXARIFADO CENTRAL
SERV. PESSOA JURÍDICA,71,"R$       334.963,60",COORDENACAO DE CERIMONIAL
LOC. MÃO-DE-OBRA,730,"R$       126.223,96",COORDENACAO DE CONTRATOS DE GESTAO
SERV. PESSOA JURÍDICA,119,"R$     2.961.355,01",COORDENAÇÃO DE GESTÃO DE TRANSPORTES
SERV. PESSOA JURÍDICA,219,"R$           100,00",COORDENACAO DE PATRIMONIO
SERV. PESSOA FÍSICA,219,"R$           100,00",COORDENACAO DE PATRIMONIO
SERV. PESSOA JURÍDICA,777,"R$        30.499,00",COORDENADORIA DE CAPACITACAO/PROCAP
CAPITAL,193,"R$        63.193,66",DECANATO ADMINISTRACAO E FINANCAS / DAF
DIÁRIAS,193,"R$        16.061,12",DECANATO ADMINISTRACAO E FINANCAS / DAF
CUSTEIO,193,"R$     3.812.079,31",DECANATO ADMINISTRACAO E FINANCAS / DAF
EQUIP. MATERIAL PERMANENTE,193,"R$     6.986.249,39",DECANATO ADMINISTRACAO E FINANCAS / DAF
"PREMIAÇÕES CULT., E OUTRAS",193,"R$        10.000,00",DECANATO ADMINISTRACAO E FINANCAS / DAF
EQUIPAMENTOS E MATERIAL PERMANENTE,193,"R$       171.138,80",DECANATO ADMINISTRACAO E FINANCAS / DAF
DIV.EXERCÍCIOS ANTERIORES,193,"R$         3.982,85",DECANATO ADMINISTRACAO E FINANCAS / DAF
EXCLUSIVO PARA CONV. DNOC - MATERIAL DE CONSUMO,193,"R$        11.172,50",DECANATO ADMINISTRACAO E FINANCAS / DAF
MAT. CONSUMO,193,"R$     3.440.626,71",DECANATO ADMINISTRACAO E FINANCAS / DAF
SERV. PESSOA JURÍDICA,193,"R$       421.303,29",DECANATO ADMINISTRACAO E FINANCAS / DAF
TRANF.PJ,193,"R$        71.910,00",DECANATO ADMINISTRACAO E FINANCAS / DAF
SERVIÇOS TIC,193,"R$        52.736,79",DECANATO ADMINISTRACAO E FINANCAS / DAF
OBRIGAÇÕES CONTRIBUTIVAS,193,"R$        36.802,20",DECANATO ADMINISTRACAO E FINANCAS / DAF
OBRIGAÇÕES PATRONAIS,193,"R$     1.580.821,81",DECANATO ADMINISTRACAO E FINANCAS / DAF
PASSAGENS,193,"R$        97.519,21",DECANATO ADMINISTRACAO E FINANCAS / DAF
INDENIZAÇÕES E RESTITUIÇÕE,193,"R$         3.372,55",DECANATO ADMINISTRACAO E FINANCAS / DAF
ANUIDADES,180,"R$           290,50",DECANATO ASSUNTOS COMUNITARIOS
OBRAS E INSTALAÇÕES,180,"R$       418.000,00",DECANATO ASSUNTOS COMUNITARIOS
PASSAGENS,180,"R$       112.526,61",DECANATO ASSUNTOS COMUNITARIOS
EQUIP. MATERIAL PERMANENTE,180,"R$     1.010.022,20",DECANATO ASSUNTOS COMUNITARIOS
TRANF.PJ,180,"R$       193.103,71",DECANATO ASSUNTOS COMUNITARIOS
EXCLUSIVO PARA CONV. DNOC - MATERIAL DE CONSUMO,180,"R$           200,00",DECANATO ASSUNTOS COMUNITARIOS
CUSTEIO,180,"R$    38.044.534,28",DECANATO ASSUNTOS COMUNITARIOS
EQUIPAMENTOS E MATERIAL PERMANENTE,180,"R$       231.389,00",DECANATO ASSUNTOS COMUNITARIOS
DIÁRIAS,180,"R$        54.559,49",DECANATO ASSUNTOS COMUNITARIOS
SERV. PESSOA FÍSICA,180,"R$        13.511,90",DECANATO ASSUNTOS COMUNITARIOS
CAPITAL,180,"R$       141.297,00",DECANATO ASSUNTOS COMUNITARIOS
MAT. CONSUMO,180,"R$       399.144,16",DECANATO ASSUNTOS COMUNITARIOS
CONTRIBUICOES,180,"R$        26.712,00",DECANATO ASSUNTOS COMUNITARIOS
OBRIGAÇÕES PATRONAIS,180,"R$           238,02",DECANATO ASSUNTOS COMUNITARIOS
AUX. FINANCEIRO ESTUDANTE,180,"R$   285.751.165,27",DECANATO ASSUNTOS COMUNITARIOS
SERV. PESSOA JURÍDICA,180,"R$    68.656.273,84",DECANATO ASSUNTOS COMUNITARIOS
EQUIP. MATERIAL PERMANENTE,130,"R$     2.762.825,82",DECANATO DE ENSINO DE GRADUACAO / DEG
DIÁRIAS,130,"R$        26.050,50",DECANATO DE ENSINO DE GRADUACAO / DEG
CUSTEIO,130,"R$    11.329.646,33",DECANATO DE ENSINO DE GRADUACAO / DEG
PASSAGENS,130,"R$       193.840,42",DECANATO DE ENSINO DE GRADUACAO / DEG
SERV. PESSOA FÍSICA,130,"R$     1.755.822,15",DECANATO DE ENSINO DE GRADUACAO / DEG
AUX. FINANCEIRO ESTUDANTE,130,"R$     7.423.502,01",DECANATO DE ENSINO DE GRADUACAO / DEG
TRANSFERENCIAS,130,"R$        26.037,25",DECANATO DE ENSINO DE GRADUACAO / DEG
MAT. CONSUMO,130,"R$        28.075,32",DECANATO DE ENSINO DE GRADUACAO / DEG
SERV. PESSOA JURÍDICA,130,"R$    11.588.466,11",DECANATO DE ENSINO DE GRADUACAO / DEG
AUXÍLIO FINANCEIRO A PESQUISADORES,130,"R$       470.500,00",DECANATO DE ENSINO DE GRADUACAO / DEG
OUTRAS DESPESAS CORRENTES - TRANSF. A INST. PRIVADAS S/FINS LUCRATIVOS,130,"R$    20.000.000,00",DECANATO DE ENSINO DE GRADUACAO / DEG
SERV. PESSOA JURÍDICA,675,"R$       440.520,09",DECANATO DE GESTAO DE PESSOAS / DGP
PASSAGENS,675,"R$     1.229.508,82",DECANATO DE GESTAO DE PESSOAS / DGP
EQUIPAMENTOS E MATERIAL PERMANENTE,675,"R$       212.288,77",DECANATO DE GESTAO DE PESSOAS / DGP
EQUIP. MATERIAL PERMANENTE,675,"R$        99.340,00",DECANATO DE GESTAO DE PESSOAS / DGP
SERVIÇOS TIC,675,"R$        41.580,00",DECANATO DE GESTAO DE PESSOAS / DGP
MAT. CONSUMO,675,"R$       224.502,51",DECANATO DE GESTAO DE PESSOAS / DGP
OBRIGAÇÕES PATRONAIS,675,"R$        23.280,00",DECANATO DE GESTAO DE PESSOAS / DGP
SERVIÇOS / UG-GESTÃO,675,"R$         6.750,00",DECANATO DE GESTAO DE PESSOAS / DGP
DIÁRIAS,675,"R$       258.572,29",DECANATO DE GESTAO DE PESSOAS / DGP
INDENIZAÇÕES E RESTITUIÇÕE,675,"R$        39.548,33",DECANATO DE GESTAO DE PESSOAS / DGP
CUSTEIO,675,"R$    10.109.408,84",DECANATO DE GESTAO DE PESSOAS / DGP
SERV. PESSOA FÍSICA,675,"R$     2.012.766,23",DECANATO DE GESTAO DE PESSOAS / DGP
CONTRIBUICOES,786,"R$         4.500,00",DECANATO DE PESQUISA E INOVAÇÃO
PASSAGENS,786,"R$       151.130,14",DECANATO DE PESQUISA E INOVAÇÃO
OBRIGAÇÕES PATRONAIS,786,"R$           350,01",DECANATO DE PESQUISA E INOVAÇÃO
SERV. PESSOA JURÍDICA,786,"R$     4.370.896,67",DECANATO DE PESQUISA E INOVAÇÃO
AUX. FINANCEIRO ESTUDANTE,786,"R$        95.300,00",DECANATO DE PESQUISA E INOVAÇÃO
EQUIPAMENTOS E MATERIAL PERMANENTE,786,"R$       128.473,00",DECANATO DE PESQUISA E INOVAÇÃO
AUXÍLIO FINANCEIRO A PESQUISADORES,786,"R$     8.871.989,29",DECANATO DE PESQUISA E INOVAÇÃO
DIÁRIAS,786,"R$       107.333,69",DECANATO DE PESQUISA E INOVAÇÃO
"PREMIAÇÕES CULT., E OUTRAS",786,"R$        17.500,00",DECANATO DE PESQUISA E INOVAÇÃO
CUSTEIO,786,"R$    24.788.708,18",DECANATO DE PESQUISA E INOVAÇÃO
MAT. CONSUMO,786,"R$       117.824,38",DECANATO DE PESQUISA E INOVAÇÃO
EQUIP. MATERIAL PERMANENTE,786,"R$     4.760.717,68",DECANATO DE PESQUISA E INOVAÇÃO
SERVIÇOS TIC,786,"R$       345.979,13",DECANATO DE PESQUISA E INOVAÇÃO
SERV. PESSOA FÍSICA,786,"R$         5.866,63",DECANATO DE PESQUISA E INOVAÇÃO
INDENIZAÇÕES E RESTITUIÇÕE,786,"R$       119.896,69",DECANATO DE PESQUISA E INOVAÇÃO
SERV. PESSOA JURÍDICA,676,"R$       902.616,83","DECANATO DE PLANEJAMENTO,ORÇAMENTO E AVALIAÇÃO INSTITUCIONAL"
CUSTEIO,676,"R$    58.759.466,79","DECANATO DE PLANEJAMENTO,ORÇAMENTO E AVALIAÇÃO INSTITUCIONAL"
PASSAGENS,676,"R$        82.609,26","DECANATO DE PLANEJAMENTO,ORÇAMENTO E AVALIAÇÃO INSTITUCIONAL"
OUTRAS DESPESAS CORRENTES - TRANSF. A INST. PRIVADAS S/FINS LUCRATIVOS,676,"R$    10.704.423,42","DECANATO DE PLANEJAMENTO,ORÇAMENTO E AVALIAÇÃO INSTITUCIONAL"
EXCLUSIVO PARA CONV. DNOC - MATERIAL DE CONSUMO,676,"R$         4.382,50","DECANATO DE PLANEJAMENTO,ORÇAMENTO E AVALIAÇÃO INSTITUCIONAL"
SERVIÇOS TIC,676,"R$        17.633,70","DECANATO DE PLANEJAMENTO,ORÇAMENTO E AVALIAÇÃO INSTITUCIONAL"
EQUIP. MATERIAL PERMANENTE,676,"R$       263.766,58","DECANATO DE PLANEJAMENTO,ORÇAMENTO E AVALIAÇÃO INSTITUCIONAL"
MAT. CONSUMO,676,"R$        35.124,85","DECANATO DE PLANEJAMENTO,ORÇAMENTO E AVALIAÇÃO INSTITUCIONAL"
EQUIPAMENTOS E MATERIAL PERMANENTE,676,"R$        66.242,90","DECANATO DE PLANEJAMENTO,ORÇAMENTO E AVALIAÇÃO INSTITUCIONAL"
DIÁRIAS,676,"R$        32.630,93","DECANATO DE PLANEJAMENTO,ORÇAMENTO E AVALIAÇÃO INSTITUCIONAL"
AUX. FINANCEIRO ESTUDANTE,676,"R$    35.328.301,37","DECANATO DE PLANEJAMENTO,ORÇAMENTO E AVALIAÇÃO INSTITUCIONAL"
CUSTEIO,170,"R$    10.373.808,78",DECANATO DE PÓS-GRADUAÇÃO / DPG
EQUIPAMENTOS E MATERIAL PERMANENTE,170,"R$       102.940,00",DECANATO DE PÓS-GRADUAÇÃO / DPG
MAT. CONSUMO,170,"R$       289.734,90",DECANATO DE PÓS-GRADUAÇÃO / DPG
SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO - PJ,170,"R$       183.749,72",DECANATO DE PÓS-GRADUAÇÃO / DPG
INDENIZAÇÕES E RESTITUIÇÕE,170,"R$           317,58",DECANATO DE PÓS-GRADUAÇÃO / DPG
SERV. PESSOA FÍSICA,170,"R$       137.284,00",DECANATO DE PÓS-GRADUAÇÃO / DPG
OBRIGAÇÕES PATRONAIS,170,"R$         1.777,83",DECANATO DE PÓS-GRADUAÇÃO / DPG
AUX. FINANCEIRO ESTUDANTE,170,"R$    13.463.715,51",DECANATO DE PÓS-GRADUAÇÃO / DPG
SERVIÇOS TIC,170,"R$       182.573,22",DECANATO DE PÓS-GRADUAÇÃO / DPG
EQUIP. MATERIAL PERMANENTE,170,"R$       130.459,95",DECANATO DE PÓS-GRADUAÇÃO / DPG
CONTRIBUICOES,170,"R$         3.000,00",DECANATO DE PÓS-GRADUAÇÃO / DPG
DIÁRIAS,170,"R$     1.137.742,34",DECANATO DE PÓS-GRADUAÇÃO / DPG
EXCLUSIVO PARA CONV. DNOC - MATERIAL DE CONSUMO,170,"R$           780,00",DECANATO DE PÓS-GRADUAÇÃO / DPG
AUXÍLIO FINANCEIRO A PESQUISADORES,170,"R$       675.208,43",DECANATO DE PÓS-GRADUAÇÃO / DPG
PASSAGENS,170,"R$     1.840.693,14",DECANATO DE PÓS-GRADUAÇÃO / DPG
